title,medium,faculty,category,topic,year,genres,keywords,directorCreator,country,description,metadataSource,metadataStatus,seasons,runYears,network,MediaType
Casablanca,Film,David Sedman,Personal Top 10,,1942,Drama; Romance; War,Drama; Romance; War,Michael Curtiz,,,https://www.wikidata.org/w/index.php?search=Casablanca,Director/creator baseline added,,,,Film
Casablanca,Film,David Sedman,Important or Influential,,1942,Drama; Romance; War,Drama; Romance; War,Michael Curtiz,,,https://www.wikidata.org/w/index.php?search=Casablanca,Director/creator baseline added,,,,Film
Casablanca,Film,Mark Kerins,Important or Influential,,1942,Drama; Romance; War,Drama; Romance; War,Michael Curtiz,,,https://www.wikidata.org/w/index.php?search=Casablanca,Director/creator baseline added,,,,Film
Shawshank Redemption,Film,David Sedman,Personal Top 10,,1994,Drama,Drama,Frank Darabont,,,https://www.wikidata.org/w/index.php?search=Shawshank%20Redemption,Director/creator baseline added,,,,Film
Paddington 2,Film,David Sedman,Personal Top 10,,2017,Adventure; Comedy; Family,Adventure; Comedy; Family,Paul King,,,https://www.wikidata.org/w/index.php?search=Paddington%202,Director/creator baseline added,,,,Film
Dr. Strangelove,Film,David Sedman,Personal Top 10,,1964,Black comedy; Satire; War,Black comedy; Satire; War,Stanley Kubrick,,,https://www.wikidata.org/w/index.php?search=Dr.%20Strangelove,Director/creator baseline added,,,,Film
Dr. Strangelove,Film,Rick Worland,Personal Top 10,,1964,Black comedy; Satire; War,Black comedy; Satire; War,Stanley Kubrick,,,https://www.wikidata.org/w/index.php?search=Dr.%20Strangelove,Director/creator baseline added,,,,Film
Spotlight,Film,David Sedman,Personal Top 10,,2015,Drama; Journalism,Drama; Journalism,Tom McCarthy,,,https://www.wikidata.org/w/index.php?search=Spotlight,Director/creator baseline added,,,,Film
Spotlight,Film,David Sedman,Inspired my work,,2015,Drama; Journalism,Drama; Journalism,Tom McCarthy,,,https://www.wikidata.org/w/index.php?search=Spotlight,Director/creator baseline added,,,,Film
Whiplash,Film,David Sedman,Personal Top 10,,2014,Drama; Music,Drama; Music,Damien Chazelle,,,https://www.wikidata.org/w/index.php?search=Whiplash,Director/creator baseline added,,,,Film
Coda,Film,David Sedman,Personal Top 10,,2021,Comedy drama; Coming-of-age,Comedy drama; Coming-of-age,Sian Heder,,,https://www.wikidata.org/w/index.php?search=Coda,Director/creator baseline added,,,,Film
Coda,Film,David Sedman,Important or Influential,,2021,Comedy drama; Coming-of-age,Comedy drama; Coming-of-age,Sian Heder,,,https://www.wikidata.org/w/index.php?search=Coda,Director/creator baseline added,,,,Film
